Batch,pos,orden_escalon_fase,y,pred,target,modelo,train_end,seleccion
AP0101,100,0,1093.1201740483552,1051.0581372723234,temperatura_horno_celsius,incremental_base,99,base
AP0101,100,1,1102.391639074316,1097.7167438875276,temperatura_horno_celsius,incremental_base,99,base
AP0101,100,2,1104.22409088649,1112.218142151675,temperatura_horno_celsius,incremental_base,99,base
AP0101,100,3,1105.6776792118096,1107.7524757282606,temperatura_horno_celsius,incremental_base,99,base
AP0102,101,0,1084.1451333558998,1099.5092317919473,temperatura_horno_celsius,incremental_base,99,base
AP0102,101,1,1097.0008908698062,1085.3068032257718,temperatura_horno_celsius,incremental_base,99,base
AP0102,101,2,1081.7095365417713,1095.5769733509978,temperatura_horno_celsius,incremental_base,99,base
AP0102,101,3,1085.7139794688715,1087.92404839033,temperatura_horno_celsius,incremental_base,99,base
AP0103,102,0,1125.8032060694861,1104.3115143366535,temperatura_horno_celsius,incremental_base,99,base
AP0103,102,1,1094.8283745325057,1119.7238855152898,temperatura_horno_celsius,incremental_base,99,base
AP0103,102,2,1069.4802401963439,1101.5936189850443,temperatura_horno_celsius,incremental_base,99,base
AP0104,103,0,1074.5120427086924,1056.9895784845155,temperatura_horno_celsius,incremental_base,99,base
AP0104,103,1,1096.5420050365124,1071.973622857667,temperatura_horno_celsius,incremental_base,99,base
AP0104,103,2,1088.9602232252032,1100.2049845697743,temperatura_horno_celsius,incremental_base,99,base
AP0104,103,3,1090.4226403806265,1087.947402583805,temperatura_horno_celsius,incremental_base,99,base
AP0105,104,0,1104.192795424521,1108.033490484236,temperatura_horno_celsius,incremental_base,99,base
AP0105,104,1,1080.7794290339457,1100.1977181480343,temperatura_horno_celsius,incremental_base,99,base
AP0105,104,2,1058.116823300257,1077.6535346739072,temperatura_horno_celsius,incremental_base,99,base
AP0105,104,3,1059.935743653223,1065.6496496860914,temperatura_horno_celsius,incremental_base,99,base
AP0106,105,0,1148.5507472672564,1140.677537097025,temperatura_horno_celsius,incremental_base,99,base
AP0106,105,1,1130.6909694321805,1140.6418517664147,temperatura_horno_celsius,incremental_base,99,base
AP0106,105,2,1099.067381109748,1120.7892531554032,temperatura_horno_celsius,incremental_base,99,base
AP0106,105,3,1096.5647726562624,1100.7655215019172,temperatura_horno_celsius,incremental_base,99,base
AP0107,106,0,1109.452088349038,1125.0281909022058,temperatura_horno_celsius,incremental_base,99,base
AP0107,106,1,1082.3658852855954,1108.938099994901,temperatura_horno_celsius,incremental_base,99,base
AP0107,106,2,1064.793942717599,1078.6763200718276,temperatura_horno_celsius,incremental_base,99,base
AP0107,106,3,1038.590460929775,1069.3650307819203,temperatura_horno_celsius,incremental_base,99,base
AP0108,107,0,1082.3037507432664,1078.5069193395555,temperatura_horno_celsius,incremental_base,99,base
AP0108,107,1,1053.8682525976324,1086.573571919574,temperatura_horno_celsius,incremental_base,99,base
AP0108,107,2,997.5902343342532,1060.93413207685,temperatura_horno_celsius,incremental_base,99,base
AP0108,107,3,993.3470568142238,1002.4015401923992,temperatura_horno_celsius,incremental_base,99,base
AP0109,108,0,1138.7379462014408,1123.1528147182432,temperatura_horno_celsius,incremental_base,99,base
AP0109,108,1,1133.0513926955234,1129.6909012055492,temperatura_horno_celsius,incremental_base,99,base
AP0109,108,2,1097.484795955223,1138.1490929279305,temperatura_horno_celsius,incremental_base,99,base
AP0109,108,3,1076.6294144590486,1100.4016438677486,temperatura_horno_celsius,incremental_base,99,base
AP0110,109,0,1055.342695746444,1044.6382419774225,temperatura_horno_celsius,incremental_base,99,base
AP0110,109,1,1086.084822292704,1066.8441197732611,temperatura_horno_celsius,incremental_base,99,base
AP0110,109,2,1077.4744313965277,1088.9823317730609,temperatura_horno_celsius,incremental_base,99,base
AP0110,109,3,1081.4504085834244,1079.705843149711,temperatura_horno_celsius,incremental_base,99,base
AP0111,110,0,1128.4780643839679,1109.580270350454,temperatura_horno_celsius,incremental_base,99,base
AP0111,110,1,1130.3385577320207,1130.2706425044155,temperatura_horno_celsius,incremental_base,99,base
AP0111,110,2,1118.6804382337377,1127.7212646810367,temperatura_horno_celsius,incremental_base,99,base
AP0111,110,3,1119.483973022491,1116.5245770771742,temperatura_horno_celsius,incremental_base,99,base
AP0112,111,0,1145.848753008443,1165.8492401188737,temperatura_horno_celsius,incremental_base,99,base
AP0112,111,1,1116.9527353942083,1144.349758395986,temperatura_horno_celsius,incremental_base,99,base
AP0112,111,2,1109.8118935147854,1110.668244829795,temperatura_horno_celsius,incremental_base,99,base
AP0112,111,3,1118.964306352624,1112.9402459124399,temperatura_horno_celsius,incremental_base,99,base
AP0113,112,0,1154.3225453316556,1151.3674950343316,temperatura_horno_celsius,incremental_base,99,base
AP0113,112,1,1146.6207216414969,1155.0102315825764,temperatura_horno_celsius,incremental_base,99,base
AP0113,112,2,1138.2851051380744,1142.573566835034,temperatura_horno_celsius,incremental_base,99,base
AP0113,112,3,1122.6680751190706,1139.3224593453874,temperatura_horno_celsius,incremental_base,99,base
AP0114,113,0,1114.926977536558,1113.3991112726153,temperatura_horno_celsius,incremental_base,99,base
AP0114,113,1,1102.0537236492069,1117.482416952293,temperatura_horno_celsius,incremental_base,99,base
AP0114,113,2,1081.2452796319385,1101.4314280140698,temperatura_horno_celsius,incremental_base,99,base
AP0114,113,3,1079.924662099792,1087.3674312513533,temperatura_horno_celsius,incremental_base,99,base
AP0115,114,0,1068.2972981156965,1042.7402678698948,temperatura_horno_celsius,incremental_base,99,base
AP0115,114,1,1058.4941447778424,1074.8384197881828,temperatura_horno_celsius,incremental_base,99,base
AP0115,114,2,1055.787828633898,1070.0912831265987,temperatura_horno_celsius,incremental_base,99,base
AP0115,114,3,1059.378858421248,1062.3496671606001,temperatura_horno_celsius,incremental_base,99,base
AP0116,115,0,1062.8416483601902,1069.807174547974,temperatura_horno_celsius,incremental_base,99,base
AP0116,115,1,1049.1277747610293,1070.3289516249833,temperatura_horno_celsius,incremental_base,99,base
AP0116,115,2,1051.0763122564788,1052.4351866276065,temperatura_horno_celsius,incremental_base,99,base
AP0116,115,3,1040.9033265091377,1053.0997804634685,temperatura_horno_celsius,incremental_base,99,base
AP0117,116,0,1072.0948802923065,1068.3773829707904,temperatura_horno_celsius,incremental_base,99,base
AP0117,116,1,1085.1989342890008,1079.2378421751384,temperatura_horno_celsius,incremental_base,99,base
AP0117,116,2,1097.385010867968,1098.65794470991,temperatura_horno_celsius,incremental_base,99,base
AP0117,116,3,1108.0408187114272,1100.024048844998,temperatura_horno_celsius,incremental_base,99,base
AP0118,117,0,1140.9398285202296,1146.6362221628535,temperatura_horno_celsius,incremental_base,99,base
AP0118,117,1,1127.8528807099497,1137.9389674544432,temperatura_horno_celsius,incremental_base,99,base
AP0118,117,2,1121.0781913724013,1135.7247797569935,temperatura_horno_celsius,incremental_base,99,base
AP0118,117,3,1120.7298258099459,1120.608463388281,temperatura_horno_celsius,incremental_base,99,base
AP0119,118,0,1135.4096148567608,1125.3459999690942,temperatura_horno_celsius,incremental_base,99,base
AP0119,118,1,1105.9296537026773,1148.3305420982556,temperatura_horno_celsius,incremental_base,99,base
AP0119,118,2,1071.8029554556842,1114.6277902422767,temperatura_horno_celsius,incremental_base,99,base
AP0119,118,3,1067.4910215333616,1076.1442515441988,temperatura_horno_celsius,incremental_base,99,base
AP0120,119,0,1067.6171997230292,1059.0964428431798,temperatura_horno_celsius,incremental_base,99,base
AP0120,119,1,1020.8786529052701,1071.7095333773336,temperatura_horno_celsius,incremental_base,99,base
AP0120,119,2,969.1625413976803,1031.6850203312326,temperatura_horno_celsius,incremental_base,99,base
AP0120,119,3,971.9867522344437,971.5439320021309,temperatura_horno_celsius,incremental_base,99,base
AP0101,100,0,1093.1201740483552,1059.3693621759794,temperatura_horno_celsius,incremental_fenomenologico,99,fenomenologico
AP0101,100,1,1102.391639074316,1109.036807354863,temperatura_horno_celsius,incremental_fenomenologico,99,fenomenologico
AP0101,100,2,1104.22409088649,1114.2331708225172,temperatura_horno_celsius,incremental_fenomenologico,99,fenomenologico
