s_ini_ventana,s_fin_ventana,aplica_a,b_gn,se_gn,t_gn,b_carbon,se_carbon,t_carbon
0,100,DEV,-0.5293264811887644,0.653643404742607,-0.809809258914199,-0.2726933467761122,1.0258603213420783,-0.26581917742891353
10,110,DEV,-1.2342639508331121,0.7175108888476129,-1.7202023969496145,-0.6721755336523818,1.0884147893459308,-0.6175729512609042
20,120,DEV,-1.2722432316917407,0.7229085090427333,-1.7598952229465799,-1.2690312310137353,1.283489272993083,-0.9887353620450355
30,130,DEV,-1.098601119741253,0.7249155218427794,-1.515488476434526,-1.8623957911302438,1.282391449399975,-1.4522833819592684
40,140,DEV,-2.1097262013353553,0.7722278024193598,-2.7319997994447554,-1.492790123680586,1.3143913492351391,-1.1357272889457615
50,150,DEV,-3.080750484328939,0.8721541381780941,-3.5323463473607335,-0.3041198318002171,1.424605430931968,-0.21347653546516654
60,160,DEV,-3.5125737926261067,1.0660545182189922,-3.2949288545715283,0.9725399330034087,1.8354838783133003,0.5298547944191777
70,170,DEV,-2.9063412434009535,0.9716960978302286,-2.990998162790543,2.156626466461596,1.8575757395739134,1.1609897892810972
80,180,DEV,-3.0743362367419462,0.9648034521660764,-3.186489672937805,2.3603062129177688,1.876191573416107,1.2580304945193854
90,190,DEV,-3.1462018815144894,0.9640678598486366,-3.2634651693589896,0.8364518985360414,1.9925094943072335,0.41979819967024223
100,200,DEV,-3.29631810229507,0.9566596073345661,-3.445654104158566,-0.13221401741147898,1.9519084095248707,-0.06773576914075709
110,210,DEV,-2.6929738221670534,0.9270123066881557,-2.905003313049826,1.9071806512126337,1.761875873261986,1.0824716316034377
120,220,DEV,-1.8882095245979873,0.7936986873537596,-2.3790004376766634,1.7607916199442535,1.893811046798651,0.9297609827130023
130,230,DEV,-1.9640938152879623,0.816202965803421,-2.406379169860804,2.0194664898144445,2.0659271534037638,0.9775109865259421
140,240,DEV,-1.511355456506151,0.6730129799949085,-2.2456557324014534,2.2854283374740834,1.9473451950373475,1.173612332984575
150,250,DEV,-1.3601663548672505,0.6571436762712731,-2.06981578607745,1.2428635631844267,2.0210582571288436,0.6149568221502254
160,260,DEV,-1.3956151695182784,0.6437753950337525,-2.167860375348933,-0.5304194553391998,2.0145450090736445,-0.2632949142114747
170,270,DEV,-1.6307877949948335,0.7016915459083467,-2.324080722511431,0.36972751477589894,2.1226917880854543,0.17417861455495234
180,280,DEV,-1.3670699027269904,0.7078331129637969,-1.9313449423168072,1.7081631478054426,1.9411213000491558,0.8799878440168505
190,290,DEV,-1.314915417162269,0.7115001433479305,-1.8480887593008712,2.759806355152029,2.0644645386742733,1.3368146090435051
200,300,LB,-0.9932460801265278,0.7312150842968449,-1.358350096239684,2.7417222065567204,2.204013775216528,1.2439678178905058
210,310,LB,-0.6884092701925788,0.7033132058738434,-0.9788089636924321,2.1027215976855835,2.1905076563837667,0.9599243314935013
220,320,LB,-1.287704710140767,0.7382964639545987,-1.7441566809670566,1.6021326937726192,2.1673833277008354,0.7392013555221747
230,330,LB,-0.8780082583711073,0.7654184124762902,-1.1470958159087985,1.4096876841666153,2.1540526577788746,0.6544351082021355
240,340,LB,-0.5783484755550056,0.8310126614719415,-0.6959562740363049,2.898879909963676,2.198096894405739,1.3188135233444274
250,350,LB,-0.024159012068048245,0.7948566961874223,-0.030394173168482308,4.321812818256563,2.091163062631415,2.066702925030729
260,360,LB,-0.025273665246085344,0.7711610485881727,-0.03277352414564493,3.5210161553319987,1.5971539549248421,2.2045565140886425
