id,label,agg,teoria,n_dev,n_lockbox,rho_dev_negKPI,p_dev_negKPI,ci_low_negKPI,ci_high_negKPI,rho_lockbox_negKPI,p_lockbox_negKPI,rho_dev_posKPI,p_dev_posKPI,ci_low_posKPI,ci_high_posKPI,rho_lockbox_posKPI,p_lockbox_posKPI,theta_ols_negKPI,p_ols_negKPI,theta_ols_posKPI,p_ols_posKPI,p_dev_negKPI_bh,p_dev_posKPI_bh
P05_gas_total_min,-gas total lanza (Nm3/min),twmean,Guia 15.1: momentum del jet ~ flujo*velocidad; mas flujo -> mas turbulencia/splashing (22.2 arrastre mecanico).,299,63,-0.0012228681735539043,0.9832003423711657,-0.12418603738417831,0.11076159540404862,0.4269873271889401,0.00048313369474910087,0.18794056250140287,0.0010933700225208354,0.0836513655936427,0.2936482421306082,-0.049923195084485415,0.6976012382964536,-0.0027775636614980007,0.11393323714851387,0.9135234267982297,0.005349566264797582,0.9832003423711657,0.027334250563020884
P07_presion_punta,presion punta lanza (kPa),twmean,"Guia 17.3: sin maximo/signo universal (inmersion vs restriccion); exploratorio, se deja signo crudo.",271,63,-0.0748118804717459,0.219601948925374,-0.18766251638499137,0.036980999840789126,0.2488479262672811,0.04922081688082198,0.17042845428454287,0.004904375059921271,0.06386945434344332,0.2857824346925828,-0.02952188940092166,0.8183400827226194,-0.0038551326343040843,0.06910608086612392,0.6432043055976957,0.02863500380896007,0.3921463373667392,0.04125660622410703
P07_presion_punta,presion punta lanza (kPa),sum_exposicion,"Guia 17.3: sin maximo/signo universal (inmersion vs restriccion); exploratorio, se deja signo crudo.",271,63,-0.09305766587077637,0.1264730179862764,-0.2069913055438778,0.020417493064194655,0.2726574500768049,0.030621357632769786,0.17024757012276007,0.0049507927468928434,0.06145421798883667,0.2776290574685077,-0.06514016897081414,0.6120006524098355,-0.00415695640258207,0.049725019318602515,0.6588900362620669,0.024655340214508048,0.3921463373667392,0.04125660622410703
P08_posicion_lanza,posicion vertical lanza (mm),sum_exposicion,"Guia 16: posicion es proxy de inmersion, sin signo universal; exploratorio.",299,63,-0.03027900608291621,0.6020188665427099,-0.14277058059582434,0.08780090126174504,0.27088133640552997,0.031767633293441636,0.14564341990078786,0.011691567996812023,0.03267888972441024,0.2559716034824037,0.0478110599078341,0.7098167567054557,-0.00024307285031932926,0.9024286454395646,0.6846003774126936,0.03860728420485444,0.6841123483439885,0.07307229998007514
P08_posicion_lanza,posicion vertical lanza (mm),twmean,"Guia 16: posicion es proxy de inmersion, sin signo universal; exploratorio.",299,63,0.031771228479719874,0.5842324653001751,-0.09069922743667896,0.1420405754774723,0.25364823348694315,0.04486801112581749,0.1349904603712599,0.01953694034382488,0.018252455851738045,0.2558787259921588,0.0445468509984639,0.728838181943298,0.0007864427915786853,0.7209509230261304,0.630385052630833,0.05384120313241267,0.6841123483439885,0.0976847017191244
P12_tasa_carga,-tasa carga total (kg/min),twmean,Guia fenomenologica 9.2 / 15.1: tasa de carga alta -> mas arrastre/splash mecanico.,299,63,0.05138021593230231,0.375989198904488,-0.06459660266766185,0.16843144644913977,0.31197196620583717,0.012807497449285556,0.10466521514668582,0.07072849730228833,-0.0105583521390635,0.21492983893303286,-0.14756144393241166,0.24845513685282977,-0.004484946385981029,0.11620890610656712,0.6633998177428704,0.14627786038831392,0.5529252925065999,0.2686028648110822
P01_T_gas_bhf,-T gas pre-BHF,twmean,Guia (consideracioness) 22.3: T pre-BHF proxy de carga termica / fume aguas abajo. Minimizar.,299,63,0.07377163251105476,0.2033654846533499,-0.03750092839927531,0.18201398727808094,-0.03955453149001536,0.7582437190334711,0.1005297299723912,0.08266304266065128,-0.01575073987686938,0.20711773072472195,0.08851766513056837,0.4902734715080893,0.0006811734883754653,0.7362314847388505,0.5513058217268195,0.05848717796058916,0.3921463373667392,0.2686028648110822
P02_T_gas_cuchilla,-T gas pre-cuchilla,twmean,"Guia 22.3: segundo punto del circuito de gases, mismo mecanismo.",299,63,0.06607618235280913,0.25469340351977887,-0.04203571168235496,0.1774258764061764,0.1103110599078341,0.3894228184654454,0.0994752081883684,0.0859529167395463,-0.006677612164940775,0.2052796738345627,0.018145161290322582,0.8877512254799466,0.0008081144086408934,0.6754754686116092,0.43257315830406634,0.0999362487912816,0.4164158680709088,0.2686028648110822
P04_tiro,-tiro_horno_pct,twmean,"Guia 21.2: demasiado tiro sube infiltracion de aire falso, volumen de gas y carryover de particulas.",299,63,0.07286031738905972,0.20901961967830682,-0.02953742273567947,0.17725919210464736,0.28110599078341014,0.025632109621008623,0.08472581984691702,0.1438675975094657,-0.035038217096214214,0.1945479010840104,-0.09667818740399386,0.45099262241278676,-0.0025839855537287764,0.289923601652342,0.9042229572731888,0.014443011085799085,0.3921463373667392,0.3996322153040714
P12_tasa_carga,-tasa carga total (kg/min),sum_exposicion,Guia fenomenologica 9.2 / 15.1: tasa de carga alta -> mas arrastre/splash mecanico.,299,63,0.09564409328634599,0.0987998814679879,-0.006832256097308644,0.19936659498917397,0.1504416282642089,0.23923781012037704,0.05556553163789813,0.3382981516324209,-0.055204128371883376,0.17232460925392354,0.09230990783410138,0.4717998701454331,-0.003469520197167778,0.41120563634849083,-0.078640243109112,0.9114282125493303,0.3528567195285282,0.8031167862127785
